Questions,Category
Classify recorders.,BT2
Define Pressure vessel and give some industrial examples where these are used commonly.,BT1
Describe in brief elastomer polymerization.,BT4
Discuss FOUR (4) key components that involve in explaining an organizational crisis. Explain your answer with an example for each component. ,BT2
The armature resistance of a DC shunt motor is 5.,BT3
Write the steps involved in programming compare mode of CCP1 module in PIC18F458.,BT1
Explain velocity distribution in open channel flow.,BT2
State Nyquist theorem and explain Nyquist stability criteria.,BT1
Discuss on tunnel excavated through faulted area.,BT4
Explain the system address and system segment registers.,BT2
Distinguish between the ripening behaviour of climacteric and non-climacteric fruits in terms of carbon dioxide release and ethylene synthesis. ,BT4
State the main missions of National Center for Biotechnology Information (NCBI). ,BT1
What do you mean by molecular machine?,BT1
"Find the bilinear transformation which maps the points 0,1,2 from z plane on to the points 1, 1 2, 1 3 of the W - plane.",BT3
Write short note on state diagram and state table with suitable example.,BT2
Explain RS232 standard with suitable diagram.,BT1
Support your views with TWO (2) examples in everyday life for each tactic. ,BT5
Explain different types of exceptions in 80386 with suitable examples.,BT1
Convert the following infix expressions to prefix  expressions using stack data structure.,BT3
With the help of diagram explain interfacing of ADC 0809 with 8051 microcontrollers.,BT1
Discuss the comparison between 'Quantitative Instruments' and 'Qualitative Instruments' of monetary policy. ,BT2
"The technology of VLSI is defined by the feature size. With the aid of a diagram, explain the feature size. ",BT2
What is OBST in data structure?,BT1
Distinguish central and peripheral routes to information processing. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,BT5
Identify whether the firm is in the short-run or long-run  equilibrium. Explain.,BT2
List down FIVE (5) types of shapes. ,BT1
Explain decision support trends in businesses.,BT1
"The tyrosinase-containing solution was dissolved in 50 mM potassium phosphate buffer containing 0.01 mM NaCl, pH 6.5, before applying to a DEAE Sephadex A50 column. Suggest and explain how the mobile phase should be modified to elute the bound tyrosinase. ",BT6
Describe any types of output devices of computer.,BT1
State and explain the conditions for deadlock to occur.,BT1
"Propose with justification, the types of maintenance relevant to a library building. ",BT5
Attempt any one:,BT3
What is translation?,BT1
What is wheatstone bridge sensitivity?,BT1
Briefly describe TEN (10) general characteristic of hardened concrete. ,BT2
A body of weight 9.,BT3
Define Classical approach and Human Relations approach. ,BT1
What is DRAM?,BT1
Explain interfacing of LM35 temperature sensor with PIC 18FXX microcontroller.,BT4
Consider following relational table.,BT1
Explain different approaches used in hydraulic engineering to achieve its objectives by giving examples. ,BT2
Describe how pore size can affect water retention in soil. ,BT2
Explain distributive bargaining and integrative bargaining. ,BT2
Interpret FIVE (5) usage of Learning Management System as an emerging technology in the context of teaching and learning.,BT2
Apply Green's theorem to evaluate : 2() Cxdx xydyï«ï² Where C is the curve of region enclosed by y = x2 and the line y = x.,BT3
What is subnetting?,BT1
For the mechanism as shown in fig.,BT3
What is feature based modeling?,BT1
A vertical two start square threaded screw of a 100 mm mean diameter and 20 mm pitch supports a vertical load of 18 kN.,BT3
Define concrete mix design and state objectives in mix design?,BT1
State the limitations of Fourier Transform and need of Laplace transform.,BT2
What is exception handling?,BT1
Describe the significance of the urea cycle.,BT4
What is design pattern?,BT1
Draw the Circuit diagram for the following equations.,BT3
Compare EHV AC and EHVDC transmission systems.,BT4
Write a pseudo code to Represent Doubly Link list as an ADT.,BT1
Explain with a neat sketch Sand filter.,BT4
Compare brushless DC motor with conventional DC motor.,BT4
Explain about abstract class in Java with suitable example.,BT2
Discuss the THREE (3) levels of organizational culture outlined by Schein. Provide your discussion with an example for each level. ,BT2
"Explain the construction, and working of LVDT.",BT1
Calculate the weight of KMnO4 required making 500 ml of 0.,BT1
"Explain foil strain gauge with a neat diagram. Also, state its advantages.",BT1
Write a note on the dam located on folded geological structure.,BT1
Explain with neat sketch variable head permeability test.,BT2
What are the programming paradigms?,BT1
Explain how competitive and uncompetitive inhibitors will affect enzymatic reactions. ,BT2
What is meant by power screw?,BT1
What is age hardening?,BT1
Draw and explain interfacing diagram of ADC with 8051.,BT3
List SEVEN (7) types of advertising. ,BT1
What are applets?,BT1
Explain why mycorrhizal fungi are important for phosphorus availability in soil. ,BT2
Explain the interfacing of LED with Arduino board and write an algorithm to blink an LED frequently.,BT2
"There are five (5) techniques in adapting materials as conjured by McDonough, Shaw and Matsuhara (2012). Elaborate on the ADDING technique to adapt a topic in a course book to teach present tense to Form 1 low proficiency students by using example. ",BT2
Draw diagram of single phase induction type energy meter and label all the parts.,BT1
The velocity component of 2D flow field are as follows.,BT3
Draw block diagram of Harvard architecture and explain each block.,BT1
Explain the consideration of pricing objectives in marketing mix. ,BT2
Explain with neat sketch tube drawing process.,BT1
Explain cavitation in brief and suggest the suitable method used to reduce it.,BT3
Demonstrate the various types of chips formed during metal cutting.,BT1
What is stream? Explain types of streams available in C++.,BT1
Write down the various methods used for prevention of corrosion.,BT1
Explain in brief reactions involved in manufacturing of detergent by sodium reduction of coconut oil.,BT4
"A âTâ beam, subjected to shear force of 200 kN. The flange is 200 mm Ã 30 mm and the web is 30 mm thick and 180 mm deep. Drawshear stress distribution diagram.",BT3
Explain the conditions where underpinning are usually considered for an existing building construction works. ,BT2
Draw & explain the working of inclined tube manometer? Give the reason for its higher sensitivity.,BT1
Develop circuit model for 3 phase Synchronous Machine.,BT3
List out the properties of Laplace Transform.,BT2
Evaluate by Gaun divergence theorem333.,BT3
Describe various types of allowances used in time study.,BT1
Write a program in Java to create a player class.,BT3
"Describe dictogloss and how it can be used to teach listening, writing and  speaking skills for intermediate proficiency students. ",BT2
Explain the various methods of speed control of dc series motor.,BT2
Draw & explain the working principle of resistive type humidity sensor measurement technique. Compare with capacitive type of humiditymeasurement technique.,BT1
State the iron deficiency diseases.,BT1
Identify which country has an absolute advantage in the production of sugar cane and blue agave.,BT1
List the desirable properties of decompostion.,BT1
Explain the term Path Generation.,BT1
Derive an expression for inductance of three phase transmission line with symmetrical spacing.,BT3
Define deadlock. Explain the methods for deadlock prevention.,BT1
Define and explain reinvestment risk with an example. ,BT2
State  any one application of-,BT1
Describe the objective and classification of triangulation survey?,BT1
Compare pneumatic and mechanical fabric stretching methods.,BT4
Suppose there are two relation r and s such that the foreign key B of r references the primary key A of s.,BT3
Explain TWO characteristics of rich media. ,BT2
A helical spring is made from a wire of 6 mm diameter and has outside diameter of 75 mm.,BT3
Describe Taylor Piece Wage System and Merrick Piece Wage System with suitable illustration.,BT1
List out any SIX (6) factors to be considered when designing a layout. ,BT1
Explain nine requirements of Good Lighting Scheme.,BT1
What are the various factors which affect the rate of filtration?,BT1
A square column of wood is 2.,BT3
"In the network shown in Fig. 1, switch is closed at t = 0 with capacitor is uncharged. Find the value of 2 2(0 ) (0 )(0 ), ,di d iidt dtï«ï« ï« .",BT3
Illustrate the advantages of plastic material and its applications in construction. ,BT2
List FIVE (5) weaknesses of Out-of-Home (OOH) Advertising. ,BT1
What is reverberation time and how is it calculated?,BT2
How is pyridine is synthesized?,BT3
Convert the following infix expressions to prefix expressions using stock.,BT3
List FIVE (5) properties of damp-proof courses. ,BT1
Acircular cantilever beam of span 4Meter is subjected to a point load of 2KN at free end.,BT3
With neat waveforms explain the ALT and CHOP modes in dual trace oscilloscope.,BT2
Calculate coefficient of correlation from the following information.,BT3
Explain stream classes hierarchy for file handling in C++.,BT1
Enlist various types of fixtures for doors and explain anyone with a neat sketch.,BT3
What is orthographic projection?,BT1
Describe the 'Qlassic Assessment' principles on how to perform the evaluation. ,BT2
Describe Functional Programming.,BT3
Explain blow moulding with suitable sketch.,BT1
Explain with example trie.,BT4
Describe the limitations of using ribozyme as a catalyst. ,BT2
There are two restaurants next to each other.,BT1
Explain operation of capture mode of PIC18FXX microcontroller along with diagram.,BT4
Define Cast Iron?,BT1
What is the necessity of ADC in the architecture of a microcontroller?,BT1
Describe the meaning of 'design'. ,BT1
Explain in brief use of raw materials in manufacture of soap.,BT1
Write a Java program for class Rectangle to calculate area for Rectangle.,BT3
Describe photo interpretation elements of aerial photographs.,BT1
Explain the impact of use of electric vehicles on power grid.,BT4
âMillennials and kids are important market segments for e-marketersâ. Discuss on the above statement. ,BT2
The following marks have been obtained by a class of students in 2 papers of mathematics.,BT3
Explain influence of geological conditions on the choice and type of dam.,BT4
What is Plate linearization curve and its requirement in prepress?,BT1
Differentiate between SCADA and HMI.,BT4
Find the expected value of the sum of the faces obtained when two fair dice are tossed simultaneously.,BT3
Draw the hexapeptide Gly-Phe-Asp-Leu-Ala-Glu. Identify the formation of hydrogen bonding in an a-helix form of this hexapeptide.,BT2
State and explain the properties of CDF.,BT3
Explain the architecture of PLC with neat diagram.,BT1
Explain the use of profile projector with neat sketch.,BT1
Explain the function of SBUF and SCON registers in detail.,BT2
How Defects are managed?,BT1
Discuss any 2 of the following in detail.,BT1
Explain construction and working of Francis Turbine with application.,BT1
Discuss the architecture of Pentium 4 processor.,BT2
Explain the following Equality predicates using a suitable example.,BT4
Explain in details FIVE (5) ways to make a brand name effective.,BT2
Explain the phenomenon of spontaneous polarization in ferroelectric materials.,BT2
Discuss how curing can maintain quality and minimize decay of potato tubers in the postharvest stage. ,BT2
Construct an executive remuneration package using the remuneration framework as a guide. ,BT3
Derive the condition for maximum starting torque for three phase induction motor.,BT4
Explain magneto ignition system and state its advantages and disadvantages.,BT1
Determine resultant current  i(t) if switch is closed at t = 0. In R-L-C series circuit Fig. 6 by using Laplace transform.,BT3
What is meant by reactance voltage in ease of commutation in DC machine?,BT1
Assume that the probability of an individual coal miner being killed in a mine accident during a year is 1 2400.,BT3
Two parallel shafts having centre distance 5 meters are connected by open flat belt.,BT3
What is a user defined exception?,BT1
Explain applications and selection criterion of valves in robotics and automation systems.,BT1
Explain the Mandatory of Product Adaptation. ,BT2
Explain the different probes used for CRO.,BT3
A die is tossed 300 times gave the following result.,BT3
"Imagine that you are a relative of an older adult who survives stroke, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",BT6
State the desirable properties of cutting tool material.,BT1
There are several benefits for the statement of aims and learning outcomes in a lesson. Evaluate FIVE (5) benefits. ,BT5
Create hash task and resolve collision using linear probing with replacement.,BT3
"Name a commercially available software or an open-source software that does the computational analysis of flows of hydraulic engineering and explain what it is used for, what equations based on what assumptions it uses and how then are solved. ",BT2
Explain any two speed control techniques used in wind turbine to extract maximum power.,BT2
With suitable diagram explain construction and working of LVDT.,BT2
Explain types of price discriminations.,BT2
"Compare the crippling loads given by Eulerâs and Rankineâs formulae for a steel strut 2.5 m long having outer & inner diameter as 40 mm and30 mm respectively loaded through pin jointed at the ends. Take yield stress as 320 N/mm 2 the Rankineâs constant 1 7500, E = 2 Ã 105 MPa.",BT4
Explain how synchros can used as Error detectors.,BT2
Discuss THREE (3) differences between futures and forward contracts.,BT2
Write a Java program to accept values inside the multidimensional array.,BT3
Determine the Fermi level (in eV) of the doped semiconductor and draw the energy band diagram. ,BT3
Write FOUR (4) purposes of poster. ,BT1
Summarise the challenges of global advertising. ,BT2
State THREE advantages of pregnancy diagnosis in animal breeding. ,BT1
State classification of cleansing compounds.,BT1
Explain the need of level shifting stage in op-amp. Explain any one circuit for the same.,BT1
You are appointed to identify building defects for a new building. Briefly identify SIX (6) common construction problems you would expect for modern buildings. ,BT2
Explain in detail about language features for programming in the large for Ada programming.,BT2
What is a stack?,BT1
Explain the concept of GMD and GMR for inductance calculation.,BT1
Discuss on unfavorable geological conditions for reservoir area of dam.,BT4
Obtain the line of Regression of y on x for the following data.,BT3
Explain in brief the effect of wet adhesives on paper and board.,BT1
Compare React JS and Angular JS and Vue JS.,BT3
Write down a C++ program to implement operator overloading for complex class.,BT3
Draw the block diagram of LM317 and explain in detail.,BT1
Differentiate between Battery EV and Hybrid EV.,BT1
Define PDF and CDF.,BT1
Difference between Real Mode and Virtual 8086 Mode.,BT1
State and write properties of materials used for solders and materials used for different types of fuses.,BT1
For the circuit diagram as shown in the Fig.,BT3
Explain FOUR (4) categories of unintentional crisis. Provide your answer with an appropriate example for each category. ,BT2
Explain digital control system in detail.,BT1
Explain and differentiate between TWO types of aggregations when colloidal particles are unstable.,BT4
Explain the stepper motor interfacing with PIC18FXX microcontroller with suitable diagram.,BT4
Draw the sketch of stair.,BT3
Determine the intrinsic value of KMK Corporation's common stock. ,BT3
What methods are used to measure microbial population.,BT1
What is Minimum Spanning tree?,BT1
What do you meant by retrofitting of concrete?,BT1
Write a note on Rain Water Harvesting and its importance.,BT2
A gas expands isothermally against a constant external pressure of 1 atmosphere from a volume of 10 dm 3 to a volume of 20 dm3.,BT1
Contrast B-mode and A-mode ultrasound systems. ,BT2
Explain importance of project Management and how to manage project risk.,BT1
What are types of memory fragmentation?,BT1
Describe working of monostable multivibrator with necessary diagrams and derivations.,BT2
Give detail classification of Heat Exchanger.,BT3
Discuss the significance of topological sorting.,BT1
What is the duty cycle of a motor?,BT1
Derive the expression for torque developed in a three phase induction motor under running conditions.,BT4
Derive an expression for thermal efficiency of Diesel cycle.,BT4
"Internal control system is among the most prominent monitoring mechanisms in promoting effective corporate governance. Assuming you are the manager of purchasing department, provide TWELVE (12) recommendations on how to prevent staffs from making personal gains from their positions.",BT6
Differentiate between distance vector and link state routing.,BT4
Write short note on Satellite Alloys?,BT1
What is queue?,BT1
Differentiate between open mould and closed mould process.,BT4
State types of thermosetting resins.,BT1
Elaborate on the challenges faced by EV technology in present context.,BT1
Illustrate process reaction curve tuning method in detail.,BT2
Write short note on applications of recorders.,BT3
Construct a binary tree from the given traversal.,BT3
Draw and explain the forward feed multiple effect evaporator.,BT1
Explain the concept of instruction pipelining with diagram.,BT1
Discuss insulating materials used for transmission line.,BT2
Discuss the design procedure of spur gears.,BT4
Derive an expression for capacitance of three phase line when conductors are unsymmetrically spaced but transposed.,BT4
List the types of Abstract Data Type and explain them in brief.,BT3
Describe focused task and how it can be used to teach grammar for low  proficiency students. ,BT1
Draw and explain construction of FET with its characteristics.,BT2
Support your answers with ONE (1) example in everyday life for each theory. ,BT5
Explain the construction and working principle of Epicyclic Train Dynamometer with neat sketch.,BT2
"The substrates of allosteric enzymes exhibit positive cooperativity. Explain positive cooperativity in terms of subunits, conformation, and activity of the active site. ",BT2
What are the functions of HMI.,BT1
Explain the concept for the nature of building characteristics. ,BT2
Explain four quadrant operation of motor driving a hoist load.,BT1
"There are several factors that influence language teaching and language learning. Name 
and briefly explain the FIVE (5) external factors that you would consider when teaching English Language. ",BT2
With a neat block diagram explain AC voltage measurement using 8051 microcontroller.,BT3
Discuss in details what Accounting Information Systems (AIS) is. ,BT2
A certain feedback system is described by the following transfer function.,BT1
Explain the principle and application of TLC.,BT3
Distinguish between âload bearing wall' and 'non-load bearing wallâ. ,BT4
Explain the purposes of scaling. ,BT2
Explain necessity of transposition of line conductors in three phase lines.,BT2
Explain interrupt structure of 8051 microcontroller with neat diagram.,BT1
Analyze the continuous beam ABC shown in figure 5 by moment distribution method.,BT4
State and explain Initial value theorem and final value theorem.,BT1
Describe in brief general polymerization process.,BT2
Explain the stack organization and enlist instructions related to stack.,BT2
What is difference between starvation and deadlock?,BT4
Two tangents intersects at a chain age of 1320.,BT3
Explain the formation of phosphodiester bonds with a suitable example.,BT4
A simply supported beam of length 2m is supported at its end and a u.,BT3
With suitable diagram explain constructional details of 3 phase squirrel cage induction motor.,BT3
Calculate the balance of trade when the economy is at equilibrium and interpret the answer. ,BT3
 Explain the below methods in detail.,BT4
Compare SRAM and DRAM.,BT4
"Explain how the Utilize technology, media and materials stage in ASSURE model can help creating a more effective teaching and learning environment. ",BT2
Describe the components involved in the formation of a folded enzyme. ,BT2
"Use 4th order RK method to estimate approximate value of y for x = 0.1 with step size is 0.1, if dy/dx = x + y2 given that y = 1 when x = 0.",BT3
Describe the formation of an aquatic dead zone. ,BT2
Explain the method of monitoring inventory levels in retails stores.,BT2
"A wall with a smooth vertical back, 10 m high, supports a purely cohesive soil with c = 9.81 kN/m2 and ï§ = 17.66 kN/m3. Determine total active earth pressure against the wall and position of zero pressure beforeformation of tension crack.",BT3
"Explain the reason why it is not necessary to include product cost (price or price times quantity) in the EOQ model, but the quantity discount model requires the inclusion of product cost. ",BT2
Define profit. Briefly explain how accounting profit is different from economic profit.,BT2
Identify FIVE (5) lists giving advices of how organization can cominunicate with the public during the crisis. Explain your answer with ONE (1) example for each advice given. ,BT2
Differentiate between venturimeter and Orificemeter.,BT4
Explain the use of scaffolding in construction. ,BT2
Explain with diagram the process scheduling in Linux.,BT1
Explain hydrograph and flow duration curve with example.,BT1
Calculate the heat transfer from 60 W from incandescent bulb at 115ÂºC to ambient air at 25ÂºC.,BT3
 Which of the following is not the value of correlation coefficient between x and y?,BT1
Write THREE (3) categories of color. ,BT1
Write short note on index cutting process.,BT1
What are the objectives of hydrographic survey?,BT1
Explain any two methods of speed control of DC shunt motor.,BT1
A blue solid cube with dimensions of 10.0 x 10-9 m was dispersed into water to become colloidal particles with dimensions of 1.0 x 10-9 m. Calculate the changes of surface area to volume (surface / volume). ,BT3
The Higgs Report (2003) is among the first report that discusses the importance of Senior Independent Non-Executive Director (Senior INED). Analyse the rationales of having Senior INED in a company. ,BT4
Define Basic work content.,BT1
Find the Z Parameters for the Network Shown.,BT3
Discuss feasibility of DAM in folded areas.,BT4
Solve the system of equations by Gauss Jordan method,BT3
Relate FOUR (4) disadvantages of Web-based learning as an emerging digital technology used in teaching and learning.,BT2
Compare Forward Chaining and Backward Chaining.,BT4
Explain the types of Capital.,BT1
Explain construction and working of LVDT with neat diagram.,BT2
Define Serializability.,BT1
State any six properties of Fourier Transform.,BT1
List FIVE (5) elements in downward communication.,BT1
In the toggle mechanism shown in Fig.,BT3
A transmission line has a span of 220 m between level supports.,BT1
Explain MIG welding processes with a neat sketch.,BT1
Explain the interrupt structure of PIC18 along with IVT.,BT3
Discuss FIVE (5) types of âNon Destructive Test equipment and how they can be used to aid the sensory indicators of building defects.,BT2
Explain the FDI in Infrastructure.,BT1
What are the various types of mixers used for paste and plastic materials?,BT1
Explain the internal diagram of IC 7490.,BT1
List out the properties of continuous time Fourier Series.,BT2
Explain Architecture of Distributed database system.,BT4
Determine whether the graphas G and H displayed in Figure are isomorphic or not?,BT4
Explain with example trie tree.,BT1
"If u = 1 2 log ( x2 + y2), find V such that f (z) = u + iv is analytic function. Express f (z) in terms of z.",BT3
Write short note on Invar?,BT1
Determine the possible number of unique zygotes that could be produced upon successful mating. ,BT3
"There are three common types of brick in Malaysia, namely common brick, facing brick and engineering brick. Differentiate the properties and the applications among them. ",BT4
Explain in brief the frame size selection criteria for screen printing process.,BT3
The average rate of inflow during 12 months for a river are as under,BT3
Explain the followings terms related to refrigeration.,BT1
Define ABCD parameters and Hybrid parameters of two port networks.,BT1
What is the different usage of Virtual Reality?,BT1
Write a note on necessity and types of transition curves.,BT1
Explain the following A VL tree rotations with example.,BT2
Enlist the intermediates of glycolysis.,BT1
Design the clocked sequential circuit for the state diagram using T flip flop.,BT3
Compare with a neat sketch pressure forming process over vacuum forming process.,BT4
Draw the block diagram of a regulated dc power supply and explain the function of each block in it.,BT1
Explain the types of Lighting Scheme with diagrams.,BT1
Show with the help of potential energy diagram staggered conformations more favoured over eclipsed conformation of propane.,BT1
Determine which Angus bull is the heaviest. Justify your answer.,BT5
Explain STEP with scope and Architecture.,BT1
Explain Ammonia synthesis converter with a neat figure.,BT1
How to perform Analysis of Financial performances.,BT4
"The resisting force R of a supersonic plane during the flight can be considered as dependent upon the length of the aircaft l, velocity V , air viscosity Î¼, air density Ï, and bulk modulus of air K. Express the functional relationship between these variables and the resisting force.Use Buckinghamâs Î  Method",BT4
List out the factors affecting electro deposition.,BT1
List properties of light.,BT3
Explain the basic method for implementing paging.,BT1
Explain the virtual memory system with suitable diagram.,BT1
Discuss the role of hydraulic engineering in the sustainable development and preservation. ,BT2
Calculate the equilibrium level of income for this economy. ,BT3
What is mean by Interface in Java?,BT1
Compare frequency modulation with phase modulation.,BT4
The general objective of inventory control is to minimize the total cost of keeping the inventory while making trade-offs. Elaborate the FOUR (4) major categories of cost in inventory control. ,BT2
What are the software design quality attributes and quality guidelines?,BT1
Convert the following infix expressions to postfix and show the contents of stack for each operation.,BT3
An axial pull of 20 kN is suddenly applied on a steel rod 2.,BT3
List down the types of mesh used in screen printing process and explain in brief their advantages and disadvantages.,BT1
Sketch the Type I isotherm and provide a brief description of its nature and the processes that gives rise to the isotherm. ,BT3
A pipe of diameter 300 mm and length 3500 m is used for transmission of power by water.,BT3
The water surface levels of two reservoirs differ by 12 m.,BT3
Propose TWO (2) strategies to resist persuasion. ,BT6
What do you mean by equality of sets.,BT1
Construct the binary search tree from the following elements,BT3
Define and write down importance of polymers in various industries.,BT1
Give properties and application of PVC and polyethylene.,BT2
Describe the FOUR (4) main phases of The Hawthorne Studies. Support your description with the significance of each of the phases. ,BT5
Draw & describe TMOD register.,BT1
What is the ambiguity that arises in multiple inheritance?,BT4
Explain relay interfacing with 8051 microcontroller.,BT1
Differentiate between nucleotide and nucleoside.,BT4
Explain following with diagram.,BT1
Write a note on lapping process.,BT1
Explain the importance of hydrograph for the installation of hydroelectric power plant.,BT2
Show that the vector field F = (8xy + z4) i (4x2 â 2) j + (4xz3 â y) kis irrotational. Find scalar potential function ïª.,BT3
Enlist the  limitations of the prevalent survey techniques and also give advantages of Space Based positioning System?,BT1
Propose and explain a suitable enzyme-substrate interaction model for enzyme X.,BT6
Explain CPLD with the help of neat logic diagram.,BT2
Explain with example the significance of priority queue over simple queue.,BT4
Explain in detail Ultrasonic flow inspection test for testing of Engineering materials.,BT3
Explain types of densitometers.,BT1
Draw line code formats for 10110100.,BT1
Derive the relation between unit step function and unit ramp function.,BT4
Critically discuss on human's need to maintain a temperature of 37Â°C. Provide TWO (2) points. ,BT4
Draw the flow sheet for manufacturing of Cemented Carbide.,BT1
Velocity of slider D and angular velocity of link CD.,BT3
Discuss âTaylorâs Stability Numberâ for stability analysis of finite slope.,BT1
What is indicator microorganism and explain its significance in water microbiology.,BT4
Write a structure for stack using array. Write PUSH and POP function for stack using array.,BT3
Explain the processing of eukaryotic mRNA transcripts prior to translation. Indicate the chemical bases for each step. ,BT2
What is back emf in DC motor? State its significance?,BT1
Treating emotion as a useful concept is challenging. Critically discuss why treating emotion as a useful concept is challenging. Provide TWO (2) points. ,BT2
Differentiate between repurchase agreement (repo) and reverse repurchase agreement. ,BT4
Explain the procedure for finding out tachometric constant.,BT2
Define creep of concrete. What are the factors affecting on creep of concrete?,BT1
List THREE types of Atomic Force Mircroscopes (AFM).,BT1
Oxidation is one of the most important thermal processes. Briefly explain the TWO (2) types of oxidation process. ,BT2
Differentiate between active and passive filter.,BT4
Explain the various factors that influence the delay period in C.,BT2
Explain principle of resistance welding.,BT2
Daniel Kahneman and Amos Tversky believe that many stock investors are far from fully rational. Explain FOUR (4) common factors that create irrational market behavior. ,BT2
Draw and explain IPv4 header format.,BT1
"Based on the social learning perspective, propose a strategy that able to reduce or eliminate prejudice. Support your strategy with ONE (1) relevant example. Elaborate your example in details. ",BT5
List the properties of distribution function.,BT2
Calculate the machining time required for 3 passes while reducing 60 mm diameter shaft to 50 mm diameter for a length of 1200 mm with depth ofcut of 2 mm for rough cut and 1 mm for finish cut.,BT3
What is monochromatic emissive power?,BT1
How the following measurement can be done using CRO:,BT1
Evaluate if the contact is ohmic or rectifying (Schottky diode) in nature. Provide the analysis and support your answer with calculation,BT5
Classify and briefly explain different computational methods used in analyzing flows in hydraulic engineering. ,BT2
Describe the advantages and disadvantages of foliar application in fruit crops. ,BT2
Estimate the magnitude of the bed shear stress by making necessary assumptions and justifications. ,BT3
Define hardenability.,BT1
Sketch ONE (1) organic object in one layout to show harmony in shape and color. ,BT2
Write short note on combination folding machine.,BT1
A trapezoidal channel has side slopes 1 to 1.,BT3
Difference between unavailable and available energy.,BT1
List down FIVE (5) types of concrete admixture. ,BT1
What is the effects of faulting and their significance in civil engineering.,BT1
Write a short note on Basic operation of Power Amplifier LM 380.,BT1
Explain the effect of loading on induction motor.,BT2
Explain FM generation by Armstrong method with neat block diagram.,BT1
How interrupts are handled in protection mode.,BT4
State and write properties of electrical carbon materials and materials used for Lamp Filaments.,BT1
"Discuss the importance of shikimate pathway, a primary metabolism pathway related to plant secondary metabolism. ",BT2
What is symbiosis?,BT1
Identify TEN (10) tips during the press conference. ,BT1
Explain the process of material procurement in construction project.,BT2
Derive an expression for flux linkages due to signle current carrying conductor.,BT4
Determine the vertical and horizontal deflection at point âCâ for the truss shown below.,BT3
What is Screening Frequency?,BT1
The unemployment problem can be overcome by increasing the aggregate output in a country. Explain THREE (3) multiplier concepts that can be applied in this problem. ,BT3
Discuss various types of flow with example.,BT1
Write Note on Aluminum and its Alloy.,BT1
"Discuss FIVE (5) principles that are central to relational leadership by Komives, Lucas and McMahon (1998). Provide ONE (1) example for each principle. ",BT2
Describe the THREE (3) elements of problem structure of a company. Contrast a structured problem to an unstructured problem. Discuss briefly which levels of management typically deal with structured problems and with unstructured problems. ,BT4
"Compare the gravity retaining wall, semi gravity retaining wall and cantilever retaining wall in the aspects of shape design, maximum height and method of construction. ",BT2
A hollow circular shaft has an external diameter of 120 mm and internal diameter of 100 mm.,BT3
Why is CO2 Gas supplied in animals cell culture?,BT4
Describe in detail core drilling method of subsurface geological exploration with its significance.,BT2
Define geodetic survey and state its objectives of study.,BT2
Identify and explain FIVE (5) countries that ban advertising to children. ,BT2
Derive an expression for sag in case of overhead transmission line when the supports are at unequal level.,BT3
Explain the working of hydrogen fuel cell.,BT1
Suggest FOUR (4) strategies that improve adolescents' sleep from the physiological psychology perspectives. ,BT6
"Suppose prices of two goods are constant, explain what will happen to the budget line if there is an increase in consumer's income. Support your answer with an appropriate diagram.	",BT2
How virtual Memory is managed using paging.,BT2
Draw neat diagram of three phase full wave bridge rectifier with R load and explain its working.,BT2
Write a program to clear 10 RAM locations starting at RAM address 20H.,BT3
Describe the ARM design philosophy.,BT1
How are magnetic materials classified based on relative permeability?,BT1
Determine the Fourier transform of the following continuous time signals.,BT3
Explain cavitation and NPSH in pump.,BT1
Describe the following systems in renewable energy system.,BT1
Write a short note on sequential memories.,BT1
Explain the construction and working of linear induction motor with the help of suitable diagrams.,BT2
What will be the effects of faulting on civil engineering structures?,BT4
Briefly explain the Auger process. ,BT2
In Wien bridge at balanced condition the values of components in bridge arms are as follows.,BT3
What is DRAM? What are its  advantages and disadvantages?,BT1
ABC inventory analysis is one of the methods used by manufacturing companies for effective inventory management. Explain your answer. ,BT2
What is fluidization and minimum fluidization velocity?,BT1
Explain how nodes can be remove in tail reference using example.,BT5
Compare the thermosetting plastics and thermoplastic.,BT4
Define and explain 'Fiscal Policy' in terms of its objectives and differentiate between the 'Discretionary Fiscal Policy' and 'Automatic Fiscal Policy'. ,BT4
Describe the main disadvantage of palm oil with an indigenous broad melting interval ranging from -20 to 50Â°C. Refined palm oil is further processed to improve its marketable value. Discuss this process in relation to the secondary products from refined palm oil. ,BT2
Given the pdf for different X values as follows.,BT3
Propose an admixture to increase the workability of concrete in the fresh state without reducing the engineering performance of the hardened concrete. ,BT6
List and explain TWO simple techniques used to prepare colloids by mean of dispersion. Use simple diagrams to clarify the explanation.,BT2
Explain any two detectors used in gas chromatography.,BT1
Describe with neat circuit diagram Schering bridge.,BT2
What is a servo motor?,BT1
Explain Gauss Jacobi method for the solution of linear simultaneous equations.,BT1
What is navigation and manipulation interfaces in virtual reality system?,BT1
A cascade of zymogen activation occurs both with digestive proteases and blood clotting proteases. List THREE advantages of this activation.,BT1
State the limitations of array. Draw and explain double linked list.,BT1
Draw the ladder diagram for traffic light controller for following Switch I1 is used to start and I2 is used to stop the cycle.,BT3
Explain the function of a shift register.,BT2
How 80386 performs  task switching operation?,BT1
List the major forces acting on the concrete body of the dam excluding earthquake and wind forces. ,BT2
Represent the following graph using the adjacency matrix and adjacency list.,BT3
Examine traditional warehouse layout and cross-docking layout. ,BT4
